service_pattern,category,subcategory,vendor,role,description
dhcpd,network,dhcp,ISC,dhcp,ISC DHCP server
isc-dhcp-server,network,dhcp,ISC,dhcp,ISC DHCP server (Debian)
kea-dhcp4,network,dhcp,ISC,dhcp,Kea DHCPv4 server
kea-dhcp6,network,dhcp,ISC,dhcp,Kea DHCPv6 server
keepalived,network,ha,Keepalived,load_balancer,Keepalived VRRP/LVS
squid,network,proxy,Squid,proxy,Squid proxy server
privoxy,network,proxy,Privoxy,proxy,Privoxy privacy proxy
tinyproxy,network,proxy,Tinyproxy,proxy,Tinyproxy HTTP proxy
openvpn,network,vpn,OpenVPN,vpn,OpenVPN server
wireguard,network,vpn,WireGuard,vpn,WireGuard VPN
strongswan,network,vpn,strongSwan,vpn,strongSwan IPsec VPN
snmpd,network,snmp,Net-SNMP,monitoring,SNMP agent daemon
lldpd,network,discovery,lldpd,infrastructure,LLDP daemon
postfix,mail,mta,Postfix,mail,Postfix mail server
sendmail,mail,mta,Sendmail,mail,Sendmail mail server
exim4,mail,mta,Exim,mail,Exim mail server
dovecot,mail,mda,Dovecot,mail,Dovecot IMAP/POP3 server
amavisd-new,mail,filter,Amavis,mail,Amavis mail content filter
spamassassin,mail,filter,Apache,mail,SpamAssassin mail filter
opendkim,mail,filter,OpenDKIM,mail,OpenDKIM DKIM signing/verification
cron,scheduler,cron,Linux,infrastructure,Cron scheduler (Debian/Ubuntu)
crond,scheduler,cron,Linux,infrastructure,Cron scheduler (RHEL/CentOS)
atd,scheduler,at,Linux,infrastructure,at daemon
anacron,scheduler,anacron,Linux,infrastructure,Anacron scheduler
smbd,file_server,smb,Samba,file_server,Samba SMB server
nmbd,file_server,smb,Samba,file_server,Samba NetBIOS name server
nfs-server,file_server,nfs,Linux,file_server,NFS server
rpcbind,file_server,rpc,Linux,file_server,RPC bind service
minio,file_server,object_storage,MinIO,file_server,MinIO S3-compatible object storage
slapd,directory,ldap,OpenLDAP,directory,OpenLDAP server
sssd,directory,auth,SSSD,directory,SSSD authentication service
freeradius,directory,radius,FreeRADIUS,directory,FreeRADIUS server
krb5kdc,directory,kerberos,MIT,directory,Kerberos KDC
kadmind,directory,kerberos,MIT,directory,Kerberos admin server
389ds,directory,ldap,389 Directory,directory,389 Directory Server
rabbitmq-server,messaging,amqp,RabbitMQ,messaging,RabbitMQ message broker
kafka,messaging,streaming,Apache,messaging,Apache Kafka
activemq,messaging,jms,Apache,messaging,Apache ActiveMQ
mosquitto,messaging,mqtt,Eclipse,messaging,Mosquitto MQTT broker
nats-server,messaging,nats,NATS,messaging,NATS messaging server
pulsar,messaging,streaming,Apache,messaging,Apache Pulsar messaging
jenkins,ci_cd,automation,Jenkins,ci_cd,Jenkins automation server
gitlab-runner,ci_cd,runner,GitLab,ci_cd,GitLab CI runner
gitea,ci_cd,git_server,Gitea,ci_cd,Gitea self-hosted Git
gitlab,ci_cd,git_server,GitLab,ci_cd,GitLab self-hosted DevOps
drone-server,ci_cd,automation,Drone,ci_cd,Drone CI server
concourse,ci_cd,automation,Concourse,ci_cd,Concourse CI server
tomcat,application,java,Apache,application,Apache Tomcat
wildfly,application,java,Red Hat,application,WildFly application server
jetty,application,java,Eclipse,application,Eclipse Jetty server
gunicorn,application,python,Gunicorn,application,Gunicorn Python WSGI server
uwsgi,application,python,uWSGI,application,uWSGI application server
pm2,application,nodejs,PM2,application,PM2 Node.js process manager
php-fpm,application,php,PHP,application,PHP FastCGI Process Manager
puma,application,ruby,Puma,application,Puma Ruby HTTP server
unicorn,application,ruby,Unicorn,application,Unicorn Ruby HTTP server
passenger,application,multi,Phusion,application,Phusion Passenger app server
dotnet,application,dotnet,Microsoft,application,.NET runtime
ntpd,time,ntp,NTP,infrastructure,NTP daemon
chronyd,time,ntp,Chrony,infrastructure,Chrony NTP daemon
systemd-timesyncd,time,ntp,systemd,infrastructure,systemd time sync
consul,orchestration,service_discovery,HashiCorp,infrastructure,HashiCorp Consul service mesh
nomad,orchestration,scheduler,HashiCorp,infrastructure,HashiCorp Nomad workload orchestrator
corosync,ha_cluster,messaging,Corosync,ha_cluster,Corosync cluster engine
pacemaker,ha_cluster,resource_manager,ClusterLabs,ha_cluster,Pacemaker cluster resource manager
bacula-dir,backup,director,Bacula,backup,Bacula backup director
bacula-fd,backup,client,Bacula,backup,Bacula file daemon
bacula-sd,backup,storage,Bacula,backup,Bacula storage daemon
bareos-dir,backup,director,Bareos,backup,Bareos backup director
bareos-fd,backup,client,Bareos,backup,Bareos file daemon
bareos-sd,backup,storage,Bareos,backup,Bareos storage daemon
amanda,backup,server,Amanda,backup,Amanda backup server
restic,backup,client,Restic,backup,Restic backup
borgbackup,backup,client,Borg,backup,Borg deduplicating backup
veeamservice,backup,agent,Veeam,backup,Veeam backup agent
networker,backup,server,Dell,backup,Dell NetWorker backup
libvirtd,virtualization,hypervisor,Red Hat,virtualization,libvirt virtualization daemon
qemu,virtualization,hypervisor,QEMU,virtualization,QEMU machine emulator
vmtoolsd,virtualization,guest_tools,VMware,virtualization,VMware Tools daemon
VGAuthService,virtualization,guest_tools,VMware,virtualization,VMware VGAuth service
xe-daemon,virtualization,guest_tools,Citrix,virtualization,Citrix XenServer guest agent
open-vm-tools,virtualization,guest_tools,VMware,virtualization,Open VM Tools
vboxservice,virtualization,guest_tools,Oracle,virtualization,VirtualBox Guest Additions
cockpit,management,web_console,Red Hat,infrastructure,Cockpit web admin console
webmin,management,web_console,Webmin,infrastructure,Webmin web admin panel
cupsd,print,ipp,CUPS,print,CUPS print server
asterisk,telephony,pbx,Asterisk,telephony,Asterisk PBX
freeswitch,telephony,pbx,FreeSWITCH,telephony,FreeSWITCH communications platform
kamailio,telephony,sip_proxy,Kamailio,telephony,Kamailio SIP proxy
stunnel,network,tls_proxy,stunnel,infrastructure,stunnel TLS proxy
xinetd,network,super_server,xinetd,infrastructure,xinetd super-server
glusterd,storage,distributed,GlusterFS,storage,GlusterFS distributed filesystem
ceph-mon,storage,distributed,Ceph,storage,Ceph monitor daemon
ceph-osd,storage,distributed,Ceph,storage,Ceph OSD daemon
ceph-mgr,storage,distributed,Ceph,storage,Ceph manager daemon
ceph-mds,storage,distributed,Ceph,storage,Ceph metadata server
